"paper_id","agent","annotation_type","extracted_value","all_values_for_field","verdict","type_mismatch","correct_type","value_correct","value_complete","hallucination","issue_summary","corrected_value"
"PXD021186","TechnicalAgent","enrichment_method","pooled vesicles","pooled vesicles","high","False","","True","True","False","TYPE CHECK:        The candidate value describes a sample preparation/fractionation step used to isolate a specific population of organelles before MS.
SOURCE CHECK:      The text states ""Pellets from three independent samples of pooled vesicles isolated from the brain cortex... were solubilized using 5% SDS"" for the mass spectrometry analysis.
TRUTH CHECK:       The ""vesicles"" (specifically the P3 fraction) were isolated via differential centrifugation (subcellular fractionation) to enrich for specific proteins (Elongator, Atat1, Acly) before MS analysis.
COMPLETENESS CHECK:    The full set contains ""pooled vesicles"", which accurately captures the enrichment/fractionation step described for the proteomics experiment.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD021186","TechnicalAgent","instrument","Q Exactive Plus","Q Exactive Plus","high","False","","True","True","False","TYPE CHECK: The candidate value is a mass spectrometer model, which matches the required category.
SOURCE CHECK: The text explicitly mentions ""LC-MS/MS using Q Exactive plus mass spectrometer (Thermo)"".
TRUTH CHECK: The value is factually correct as stated in the methods section.
COMPLETENESS CHECK: The full set contains the only mass spectrometer used for the proteomics analysis described.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD021186","TechnicalAgent","label","label-free","label-free","high","False","","True","True","False","TYPE CHECK:        The candidate value ""label-free"" is a valid category for the label field.
SOURCE CHECK:      The paper explicitly states ""The data were quantified by label-free analysis using the same software"" in the Mass spectrometry analysis section.
TRUTH CHECK:       The value is factually correct as the study used label-free quantification.
COMPLETENESS CHECK: The full set of extracted values contains only ""label-free"", which is exhaustive for this experiment.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD021186","TechnicalAgent","reduction_reagent","DTT","DTT","high","False","","True","True","False","TYPE CHECK:        The candidate value ""DTT"" is a chemical used to reduce disulfide bonds, which matches the field definition.
SOURCE CHECK:      The text explicitly mentions ""reduced with 3 mM DTT"" in the Mass spectrometry analysis section.
TRUTH CHECK:       The value is factually correct as it was used for protein reduction in the MS experiment.
COMPLETENESS CHECK: The full set of extracted values contains ""DTT"", which is the only reduction reagent mentioned for the MS experiment.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD021186","ExperimentalDesignAgent","replicates","pooled vesicles from WT or Elp1 KD mice","3","low","True","","False","False","False","TYPE CHECK:        The candidate value is a description of the sample source, not a numeric count of biological replicates.
SOURCE CHECK:      The text mentions ""Pellets from three independent samples of pooled vesicles isolated from the brain cortex of WT or Elp1 KD mice"", but the candidate value itself is just the sample description.
TRUTH CHECK:       The candidate value does not represent the number of replicates.
COMPLETENESS CHECK: The full set contains ""3"", which is the correct numeric value for the replicates in the mass spectrometry experiment.

TYPE_CORRECT:      no
CORRECT_TYPE_NAME: replicates
VALUE_CORRECT:     no
VALUE_COMPLETE:    no
HALLUCINATED:      no
VERDICT:           low
CORRECTED_VALUE:   NONE","3"
"PXD021186","ExperimentalDesignAgent","replicates","3","3","high","False","","True","True","False","TYPE CHECK:        The candidate value ""3"" is a numeric count, which matches the definition for the replicates field.
SOURCE CHECK:      The text states ""Pellets from three independent samples of pooled vesicles isolated from the brain cortex of WT or Elp1 KD mice were solubilized"", confirming three independent samples.
TRUTH CHECK:       The value is factually correct based on the mass spectrometry analysis section.
COMPLETENESS CHECK: The full set of extracted values includes ""3"" and a descriptive phrase; the numeric value ""3"" correctly captures the number of biological replicates for the MS experiment.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD021186","ExperimentalDesignAgent","experimental_design","WT vs Elp1 KD comparison of brain cortex pooled vesicles","WT vs Elp1 KD comparison of brain cortex pooled vesicles","high","False","","True","True","False","TYPE CHECK:        The candidate value describes a comparison between groups, which fits the category of experimental design.
SOURCE CHECK:      The paper describes mass spectrometry analysis of ""pooled vesicles isolated from the brain cortex of WT or Elp1 KD mice.""
TRUTH CHECK:       The value accurately reflects the comparison performed for the proteomics experiment.
COMPLETENESS CHECK:    The full set contains only this value; while the paper has many other experiments (e.g., Elp3 cKO, FD fibroblasts), this specific value describes the design of the mass spectrometry experiment.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD021186","ExperimentalDesignAgent","factor_value","genotype (WT, Elp1 KD)","genotype (WT, Elp1 KD)","medium","False","","True","False","False","TYPE CHECK:        The candidate value describes an experimental variable (genotype) and its levels, which matches the definition of factor_value.
SOURCE CHECK:      The paper explicitly compares WT and Elp1 KD (knockdown) conditions in Drosophila melanogaster.
TRUTH CHECK:       The value is factually correct as the study investigates the effect of Elp1/Elp3 deficiency across species.
COMPLETENESS CHECK: The full set is incomplete; the study also investigates Elp3 cKO/KD, Atat1 KO, and FD patient fibroblasts (disease state).
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    no
HALLUCINATED:      no
VERDICT:           medium
CORRECTED_VALUE:   [""genotype (WT, Elp1 KD, Elp3 KD, Elp3 cKO, Atat1 KO)"", ""disease state (FD patient fibroblasts vs control)""]",""
"PXD021186","ExperimentalDesignAgent","fractions","1","1","high","False","","True","True","False","TYPE CHECK: The candidate value is a numeric count, which is the correct category for the number of fractions.
SOURCE CHECK: The ""Mass spectrometry analysis"" section describes the processing of ""pooled vesicles isolated from the brain cortex,"" but it does not mention any offline peptide or protein fractionation (such as high-pH RP or SAX) prior to LC-MS/MS.
TRUTH CHECK: Since no offline fractionation is described, the default value of ""1"" is correct.
COMPLETENESS CHECK: The full set of extracted values consists of this single value, which accurately reflects the lack of fractionation described in the text.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD021186","ExperimentalDesignAgent","number_of_samples","6","","low","False","","False","False","True","TYPE CHECK:        The candidate value is a numeric count, which matches the definition for number_of_samples.
SOURCE CHECK:      I have searched the text for the total number of samples processed in the study, but no such aggregate number (e.g., ""6"") is mentioned.
TRUTH CHECK:       The value ""6"" is not supported by the text; the study involves multiple different experiments (mouse PNs, fly larvae, human fibroblasts) with various groups, but the total sample count is not explicitly stated as 6.
COMPLETENESS CHECK:The full set contains only this unsupported value.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     no
VALUE_COMPLETE:    no
HALLUCINATED:      yes
VERDICT:           low
CORRECTED_VALUE:   NONE",""
