sdrf row	source name	logical field	sdrf header	selected value	selected source	evidence	agent status	agent confidence	judge verdict	judge hallucination	judge type mismatch	judge corrected value	resolution rule	assessment state
1	PXD040176-Sample-1	modification	comment[modification parameters]	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	derived								legacy_derivation	derived
1	PXD040176-Sample-1	modification	comment[modification parameters]	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	derived								legacy_derivation	derived
1	PXD040176-Sample-1	precursor_tolerance	comment[precursor mass tolerance]	6 ppm	derived								legacy_derivation	derived
1	PXD040176-Sample-1	ms2_analyzer	comment[ms2 mass analyzer]	orbitrap	derived								legacy_derivation	derived
1	PXD040176-Sample-1	ms1_scan_range	comment[ms1 scan range]	360m/z-1550m/z	derived								legacy_derivation	derived
1	PXD040176-Sample-1	data_file	comment[data file]	OF_20210714_OEF_01_2.raw	derived								legacy_derivation	derived
1	PXD040176-Sample-1	sdrf_version	comment[sdrf version]	v1.1.0	derived								legacy_derivation	derived
1	PXD040176-Sample-1	annotation_tool	comment[sdrf annotation tool]	HAMLET-agentic v2.1.0	derived								legacy_derivation	derived
2	PXD040176-Sample-2	source_name	source name	PXD040176-Sample-2	derived								legacy_derivation	derived
2	PXD040176-Sample-2	organism	characteristics[organism]	Diplonema papillatum	biological_agent	Affinity pulldown of mitoribosomal complexes from Diplonema papillatum, the diplonemid type species, demonstrates that they have a mass of > 5 MDa, contain as many as 130 integral proteins, and exhibit a protein-to-RNA ratio of 11:1.	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
2	PXD040176-Sample-2	organism_part	characteristics[organism part]	mitochondria	biological_agent	Mitochondria were extracted as described earlier, with minor variations.	LLM_ONLY	0.5					source_precedence:biological_agent	derived
2	PXD040176-Sample-2	cell_line	characteristics[cell line]	mS49, mS63, mL46, mL76, mtPrA, wild-type	biological_agent	Liquid chromatography–tandem mass spectrometry (LC–MS/MS) was performed on three (IP) and four (AP) biological replicates per tagged protein together with the same number of replicates from a wild-type (IP) or mtPrA (AP) control.	LLM_ONLY	0.5					source_precedence:biological_agent	derived
2	PXD040176-Sample-2	assay_name	assay name	run 2	derived								legacy_derivation	derived
2	PXD040176-Sample-2	technology_type	technology type	proteomic profiling by mass spectrometry	derived								legacy_derivation	derived
2	PXD040176-Sample-2	acquisition	comment[proteomics data acquisition method]	NT=data-dependent acquisition;AC=PRIDE:0000627	runassessor								source_precedence:runassessor	derived
2	PXD040176-Sample-2	label	comment[label]	label free sample	technical_agent				high	False	False		source_precedence:technical_agent	derived
2	PXD040176-Sample-2	instrument	comment[instrument]	NT=Orbitrap Fusion;AC=MS:1002416	runassessor				high	False	False		source_precedence:runassessor	derived
2	PXD040176-Sample-2	cleavage_agent	comment[cleavage agent details]	NT=Trypsin;AC=MS:1001251	derived								legacy_derivation	derived
2	PXD040176-Sample-2	factor_value	factor value[experimental design]	bait protein (mS49, mS63, mL46, mL76, wild-type, mtPrA), purification method (IP, AP)	experimental_design_agent	Four cell lines were generated each expressing a distinct PrA-tagged mtRP: mS49 (gene name MRPS49; gene identifier DIPPA_31280), mS63 (MRPS63; DIPPA_25715), mL46 (MRPL46; DIPPA_18631) or mL76 (MRPL76; DIPPA_24761). As a control, we also generated a cell line with an ectopically expressed mitochondrially targeted PrA (mtPrA)	LLM_ONLY	0.5	high	False	False		source_precedence:experimental_design_agent	derived
2	PXD040176-Sample-2	modification	comment[modification parameters]	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	derived								legacy_derivation	derived
2	PXD040176-Sample-2	modification	comment[modification parameters]	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	derived								legacy_derivation	derived
2	PXD040176-Sample-2	modification	comment[modification parameters]	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	derived								legacy_derivation	derived
2	PXD040176-Sample-2	precursor_tolerance	comment[precursor mass tolerance]	6 ppm	derived								legacy_derivation	derived
2	PXD040176-Sample-2	ms2_analyzer	comment[ms2 mass analyzer]	orbitrap	derived								legacy_derivation	derived
2	PXD040176-Sample-2	ms1_scan_range	comment[ms1 scan range]	360m/z-1550m/z	derived								legacy_derivation	derived
2	PXD040176-Sample-2	data_file	comment[data file]	OF_20210714_OEF_02_2.raw	derived								legacy_derivation	derived
2	PXD040176-Sample-2	sdrf_version	comment[sdrf version]	v1.1.0	derived								legacy_derivation	derived
2	PXD040176-Sample-2	annotation_tool	comment[sdrf annotation tool]	HAMLET-agentic v2.1.0	derived								legacy_derivation	derived
3	PXD040176-Sample-3	source_name	source name	PXD040176-Sample-3	derived								legacy_derivation	derived
3	PXD040176-Sample-3	organism	characteristics[organism]	Diplonema papillatum	biological_agent	Affinity pulldown of mitoribosomal complexes from Diplonema papillatum, the diplonemid type species, demonstrates that they have a mass of > 5 MDa, contain as many as 130 integral proteins, and exhibit a protein-to-RNA ratio of 11:1.	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
3	PXD040176-Sample-3	organism_part	characteristics[organism part]	mitochondria	biological_agent	Mitochondria were extracted as described earlier, with minor variations.	LLM_ONLY	0.5					source_precedence:biological_agent	derived
3	PXD040176-Sample-3	cell_line	characteristics[cell line]	mS49, mS63, mL46, mL76, mtPrA, wild-type	biological_agent	Liquid chromatography–tandem mass spectrometry (LC–MS/MS) was performed on three (IP) and four (AP) biological replicates per tagged protein together with the same number of replicates from a wild-type (IP) or mtPrA (AP) control.	LLM_ONLY	0.5					source_precedence:biological_agent	derived
3	PXD040176-Sample-3	assay_name	assay name	run 3	derived								legacy_derivation	derived
3	PXD040176-Sample-3	technology_type	technology type	proteomic profiling by mass spectrometry	derived								legacy_derivation	derived
3	PXD040176-Sample-3	acquisition	comment[proteomics data acquisition method]	NT=data-dependent acquisition;AC=PRIDE:0000627	runassessor								source_precedence:runassessor	derived
3	PXD040176-Sample-3	label	comment[label]	label free sample	technical_agent				high	False	False		source_precedence:technical_agent	derived
3	PXD040176-Sample-3	instrument	comment[instrument]	NT=Orbitrap Fusion;AC=MS:1002416	runassessor				high	False	False		source_precedence:runassessor	derived
3	PXD040176-Sample-3	cleavage_agent	comment[cleavage agent details]	NT=Trypsin;AC=MS:1001251	derived								legacy_derivation	derived
3	PXD040176-Sample-3	factor_value	factor value[experimental design]	bait protein (mS49, mS63, mL46, mL76, wild-type, mtPrA), purification method (IP, AP)	experimental_design_agent	Four cell lines were generated each expressing a distinct PrA-tagged mtRP: mS49 (gene name MRPS49; gene identifier DIPPA_31280), mS63 (MRPS63; DIPPA_25715), mL46 (MRPL46; DIPPA_18631) or mL76 (MRPL76; DIPPA_24761). As a control, we also generated a cell line with an ectopically expressed mitochondrially targeted PrA (mtPrA)	LLM_ONLY	0.5	high	False	False		source_precedence:experimental_design_agent	derived
3	PXD040176-Sample-3	modification	comment[modification parameters]	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	derived								legacy_derivation	derived
3	PXD040176-Sample-3	modification	comment[modification parameters]	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	derived								legacy_derivation	derived
3	PXD040176-Sample-3	modification	comment[modification parameters]	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	derived								legacy_derivation	derived
3	PXD040176-Sample-3	precursor_tolerance	comment[precursor mass tolerance]	6 ppm	derived								legacy_derivation	derived
3	PXD040176-Sample-3	ms2_analyzer	comment[ms2 mass analyzer]	orbitrap	derived								legacy_derivation	derived
3	PXD040176-Sample-3	ms1_scan_range	comment[ms1 scan range]	360m/z-1550m/z	derived								legacy_derivation	derived
3	PXD040176-Sample-3	data_file	comment[data file]	OF_20210716_OEF_03.raw	derived								legacy_derivation	derived
3	PXD040176-Sample-3	sdrf_version	comment[sdrf version]	v1.1.0	derived								legacy_derivation	derived
3	PXD040176-Sample-3	annotation_tool	comment[sdrf annotation tool]	HAMLET-agentic v2.1.0	derived								legacy_derivation	derived
4	PXD040176-Sample-4	source_name	source name	PXD040176-Sample-4	derived								legacy_derivation	derived
4	PXD040176-Sample-4	organism	characteristics[organism]	Diplonema papillatum	biological_agent	Affinity pulldown of mitoribosomal complexes from Diplonema papillatum, the diplonemid type species, demonstrates that they have a mass of > 5 MDa, contain as many as 130 integral proteins, and exhibit a protein-to-RNA ratio of 11:1.	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
4	PXD040176-Sample-4	organism_part	characteristics[organism part]	mitochondria	biological_agent	Mitochondria were extracted as described earlier, with minor variations.	LLM_ONLY	0.5					source_precedence:biological_agent	derived
4	PXD040176-Sample-4	cell_line	characteristics[cell line]	mS49, mS63, mL46, mL76, mtPrA, wild-type	biological_agent	Liquid chromatography–tandem mass spectrometry (LC–MS/MS) was performed on three (IP) and four (AP) biological replicates per tagged protein together with the same number of replicates from a wild-type (IP) or mtPrA (AP) control.	LLM_ONLY	0.5					source_precedence:biological_agent	derived
4	PXD040176-Sample-4	assay_name	assay name	run 4	derived								legacy_derivation	derived
4	PXD040176-Sample-4	technology_type	technology type	proteomic profiling by mass spectrometry	derived								legacy_derivation	derived
4	PXD040176-Sample-4	acquisition	comment[proteomics data acquisition method]	NT=data-dependent acquisition;AC=PRIDE:0000627	runassessor								source_precedence:runassessor	derived
4	PXD040176-Sample-4	label	comment[label]	label free sample	technical_agent				high	False	False		source_precedence:technical_agent	derived
4	PXD040176-Sample-4	instrument	comment[instrument]	NT=Orbitrap Fusion;AC=MS:1002416	runassessor				high	False	False		source_precedence:runassessor	derived
4	PXD040176-Sample-4	cleavage_agent	comment[cleavage agent details]	NT=Trypsin;AC=MS:1001251	derived								legacy_derivation	derived
4	PXD040176-Sample-4	factor_value	factor value[experimental design]	bait protein (mS49, mS63, mL46, mL76, wild-type, mtPrA), purification method (IP, AP)	experimental_design_agent	Four cell lines were generated each expressing a distinct PrA-tagged mtRP: mS49 (gene name MRPS49; gene identifier DIPPA_31280), mS63 (MRPS63; DIPPA_25715), mL46 (MRPL46; DIPPA_18631) or mL76 (MRPL76; DIPPA_24761). As a control, we also generated a cell line with an ectopically expressed mitochondrially targeted PrA (mtPrA)	LLM_ONLY	0.5	high	False	False		source_precedence:experimental_design_agent	derived
4	PXD040176-Sample-4	modification	comment[modification parameters]	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	derived								legacy_derivation	derived
4	PXD040176-Sample-4	modification	comment[modification parameters]	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	derived								legacy_derivation	derived
4	PXD040176-Sample-4	modification	comment[modification parameters]	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	derived								legacy_derivation	derived
4	PXD040176-Sample-4	precursor_tolerance	comment[precursor mass tolerance]	6 ppm	derived								legacy_derivation	derived
4	PXD040176-Sample-4	ms2_analyzer	comment[ms2 mass analyzer]	orbitrap	derived								legacy_derivation	derived
4	PXD040176-Sample-4	ms1_scan_range	comment[ms1 scan range]	360m/z-1550m/z	derived								legacy_derivation	derived
4	PXD040176-Sample-4	data_file	comment[data file]	OF_20210717_OEF_04.raw	derived								legacy_derivation	derived
4	PXD040176-Sample-4	sdrf_version	comment[sdrf version]	v1.1.0	derived								legacy_derivation	derived
4	PXD040176-Sample-4	annotation_tool	comment[sdrf annotation tool]	HAMLET-agentic v2.1.0	derived								legacy_derivation	derived
5	PXD040176-Sample-5	source_name	source name	PXD040176-Sample-5	derived								legacy_derivation	derived
5	PXD040176-Sample-5	organism	characteristics[organism]	Diplonema papillatum	biological_agent	Affinity pulldown of mitoribosomal complexes from Diplonema papillatum, the diplonemid type species, demonstrates that they have a mass of > 5 MDa, contain as many as 130 integral proteins, and exhibit a protein-to-RNA ratio of 11:1.	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
5	PXD040176-Sample-5	organism_part	characteristics[organism part]	mitochondria	biological_agent	Mitochondria were extracted as described earlier, with minor variations.	LLM_ONLY	0.5					source_precedence:biological_agent	derived
5	PXD040176-Sample-5	cell_line	characteristics[cell line]	mS49, mS63, mL46, mL76, mtPrA, wild-type	biological_agent	Liquid chromatography–tandem mass spectrometry (LC–MS/MS) was performed on three (IP) and four (AP) biological replicates per tagged protein together with the same number of replicates from a wild-type (IP) or mtPrA (AP) control.	LLM_ONLY	0.5					source_precedence:biological_agent	derived
5	PXD040176-Sample-5	assay_name	assay name	run 5	derived								legacy_derivation	derived
5	PXD040176-Sample-5	technology_type	technology type	proteomic profiling by mass spectrometry	derived								legacy_derivation	derived
5	PXD040176-Sample-5	acquisition	comment[proteomics data acquisition method]	NT=data-dependent acquisition;AC=PRIDE:0000627	runassessor								source_precedence:runassessor	derived
5	PXD040176-Sample-5	label	comment[label]	label free sample	technical_agent				high	False	False		source_precedence:technical_agent	derived
5	PXD040176-Sample-5	instrument	comment[instrument]	NT=Orbitrap Fusion;AC=MS:1002416	runassessor				high	False	False		source_precedence:runassessor	derived
5	PXD040176-Sample-5	cleavage_agent	comment[cleavage agent details]	NT=Trypsin;AC=MS:1001251	derived								legacy_derivation	derived
5	PXD040176-Sample-5	factor_value	factor value[experimental design]	bait protein (mS49, mS63, mL46, mL76, wild-type, mtPrA), purification method (IP, AP)	experimental_design_agent	Four cell lines were generated each expressing a distinct PrA-tagged mtRP: mS49 (gene name MRPS49; gene identifier DIPPA_31280), mS63 (MRPS63; DIPPA_25715), mL46 (MRPL46; DIPPA_18631) or mL76 (MRPL76; DIPPA_24761). As a control, we also generated a cell line with an ectopically expressed mitochondrially targeted PrA (mtPrA)	LLM_ONLY	0.5	high	False	False		source_precedence:experimental_design_agent	derived
5	PXD040176-Sample-5	modification	comment[modification parameters]	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	derived								legacy_derivation	derived
5	PXD040176-Sample-5	modification	comment[modification parameters]	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	derived								legacy_derivation	derived
5	PXD040176-Sample-5	modification	comment[modification parameters]	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	derived								legacy_derivation	derived
5	PXD040176-Sample-5	precursor_tolerance	comment[precursor mass tolerance]	6 ppm	derived								legacy_derivation	derived
5	PXD040176-Sample-5	ms2_analyzer	comment[ms2 mass analyzer]	orbitrap	derived								legacy_derivation	derived
5	PXD040176-Sample-5	ms1_scan_range	comment[ms1 scan range]	360m/z-1550m/z	derived								legacy_derivation	derived
5	PXD040176-Sample-5	data_file	comment[data file]	OF_20210717_OEF_05.raw	derived								legacy_derivation	derived
5	PXD040176-Sample-5	sdrf_version	comment[sdrf version]	v1.1.0	derived								legacy_derivation	derived
5	PXD040176-Sample-5	annotation_tool	comment[sdrf annotation tool]	HAMLET-agentic v2.1.0	derived								legacy_derivation	derived
6	PXD040176-Sample-6	source_name	source name	PXD040176-Sample-6	derived								legacy_derivation	derived
6	PXD040176-Sample-6	organism	characteristics[organism]	Diplonema papillatum	biological_agent	Affinity pulldown of mitoribosomal complexes from Diplonema papillatum, the diplonemid type species, demonstrates that they have a mass of > 5 MDa, contain as many as 130 integral proteins, and exhibit a protein-to-RNA ratio of 11:1.	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
6	PXD040176-Sample-6	organism_part	characteristics[organism part]	mitochondria	biological_agent	Mitochondria were extracted as described earlier, with minor variations.	LLM_ONLY	0.5					source_precedence:biological_agent	derived
6	PXD040176-Sample-6	cell_line	characteristics[cell line]	mS49, mS63, mL46, mL76, mtPrA, wild-type	biological_agent	Liquid chromatography–tandem mass spectrometry (LC–MS/MS) was performed on three (IP) and four (AP) biological replicates per tagged protein together with the same number of replicates from a wild-type (IP) or mtPrA (AP) control.	LLM_ONLY	0.5					source_precedence:biological_agent	derived
6	PXD040176-Sample-6	assay_name	assay name	run 6	derived								legacy_derivation	derived
6	PXD040176-Sample-6	technology_type	technology type	proteomic profiling by mass spectrometry	derived								legacy_derivation	derived
6	PXD040176-Sample-6	acquisition	comment[proteomics data acquisition method]	NT=data-dependent acquisition;AC=PRIDE:0000627	runassessor								source_precedence:runassessor	derived
6	PXD040176-Sample-6	label	comment[label]	label free sample	technical_agent				high	False	False		source_precedence:technical_agent	derived
6	PXD040176-Sample-6	instrument	comment[instrument]	NT=Orbitrap Fusion;AC=MS:1002416	runassessor				high	False	False		source_precedence:runassessor	derived
6	PXD040176-Sample-6	cleavage_agent	comment[cleavage agent details]	NT=Trypsin;AC=MS:1001251	derived								legacy_derivation	derived
6	PXD040176-Sample-6	factor_value	factor value[experimental design]	bait protein (mS49, mS63, mL46, mL76, wild-type, mtPrA), purification method (IP, AP)	experimental_design_agent	Four cell lines were generated each expressing a distinct PrA-tagged mtRP: mS49 (gene name MRPS49; gene identifier DIPPA_31280), mS63 (MRPS63; DIPPA_25715), mL46 (MRPL46; DIPPA_18631) or mL76 (MRPL76; DIPPA_24761). As a control, we also generated a cell line with an ectopically expressed mitochondrially targeted PrA (mtPrA)	LLM_ONLY	0.5	high	False	False		source_precedence:experimental_design_agent	derived
6	PXD040176-Sample-6	modification	comment[modification parameters]	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	derived								legacy_derivation	derived
6	PXD040176-Sample-6	modification	comment[modification parameters]	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	derived								legacy_derivation	derived
6	PXD040176-Sample-6	modification	comment[modification parameters]	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	derived								legacy_derivation	derived
6	PXD040176-Sample-6	precursor_tolerance	comment[precursor mass tolerance]	6 ppm	derived								legacy_derivation	derived
6	PXD040176-Sample-6	ms2_analyzer	comment[ms2 mass analyzer]	orbitrap	derived								legacy_derivation	derived
6	PXD040176-Sample-6	ms1_scan_range	comment[ms1 scan range]	360m/z-1550m/z	derived								legacy_derivation	derived
6	PXD040176-Sample-6	data_file	comment[data file]	OF_20210717_OEF_08.raw	derived								legacy_derivation	derived
6	PXD040176-Sample-6	sdrf_version	comment[sdrf version]	v1.1.0	derived								legacy_derivation	derived
6	PXD040176-Sample-6	annotation_tool	comment[sdrf annotation tool]	HAMLET-agentic v2.1.0	derived								legacy_derivation	derived
7	PXD040176-Sample-7	source_name	source name	PXD040176-Sample-7	derived								legacy_derivation	derived
7	PXD040176-Sample-7	organism	characteristics[organism]	Diplonema papillatum	biological_agent	Affinity pulldown of mitoribosomal complexes from Diplonema papillatum, the diplonemid type species, demonstrates that they have a mass of > 5 MDa, contain as many as 130 integral proteins, and exhibit a protein-to-RNA ratio of 11:1.	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
7	PXD040176-Sample-7	organism_part	characteristics[organism part]	mitochondria	biological_agent	Mitochondria were extracted as described earlier, with minor variations.	LLM_ONLY	0.5					source_precedence:biological_agent	derived
7	PXD040176-Sample-7	cell_line	characteristics[cell line]	mS49, mS63, mL46, mL76, mtPrA, wild-type	biological_agent	Liquid chromatography–tandem mass spectrometry (LC–MS/MS) was performed on three (IP) and four (AP) biological replicates per tagged protein together with the same number of replicates from a wild-type (IP) or mtPrA (AP) control.	LLM_ONLY	0.5					source_precedence:biological_agent	derived
7	PXD040176-Sample-7	assay_name	assay name	run 7	derived								legacy_derivation	derived
7	PXD040176-Sample-7	technology_type	technology type	proteomic profiling by mass spectrometry	derived								legacy_derivation	derived
7	PXD040176-Sample-7	acquisition	comment[proteomics data acquisition method]	NT=data-dependent acquisition;AC=PRIDE:0000627	runassessor								source_precedence:runassessor	derived
7	PXD040176-Sample-7	label	comment[label]	label free sample	technical_agent				high	False	False		source_precedence:technical_agent	derived
7	PXD040176-Sample-7	instrument	comment[instrument]	NT=Orbitrap Fusion;AC=MS:1002416	runassessor				high	False	False		source_precedence:runassessor	derived
7	PXD040176-Sample-7	cleavage_agent	comment[cleavage agent details]	NT=Trypsin;AC=MS:1001251	derived								legacy_derivation	derived
7	PXD040176-Sample-7	factor_value	factor value[experimental design]	bait protein (mS49, mS63, mL46, mL76, wild-type, mtPrA), purification method (IP, AP)	experimental_design_agent	Four cell lines were generated each expressing a distinct PrA-tagged mtRP: mS49 (gene name MRPS49; gene identifier DIPPA_31280), mS63 (MRPS63; DIPPA_25715), mL46 (MRPL46; DIPPA_18631) or mL76 (MRPL76; DIPPA_24761). As a control, we also generated a cell line with an ectopically expressed mitochondrially targeted PrA (mtPrA)	LLM_ONLY	0.5	high	False	False		source_precedence:experimental_design_agent	derived
7	PXD040176-Sample-7	modification	comment[modification parameters]	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	derived								legacy_derivation	derived
7	PXD040176-Sample-7	modification	comment[modification parameters]	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	derived								legacy_derivation	derived
7	PXD040176-Sample-7	modification	comment[modification parameters]	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	derived								legacy_derivation	derived
7	PXD040176-Sample-7	precursor_tolerance	comment[precursor mass tolerance]	6 ppm	derived								legacy_derivation	derived
7	PXD040176-Sample-7	ms2_analyzer	comment[ms2 mass analyzer]	orbitrap	derived								legacy_derivation	derived
7	PXD040176-Sample-7	ms1_scan_range	comment[ms1 scan range]	360m/z-1550m/z	derived								legacy_derivation	derived
7	PXD040176-Sample-7	data_file	comment[data file]	OF_20210717_OEF_09.raw	derived								legacy_derivation	derived
7	PXD040176-Sample-7	sdrf_version	comment[sdrf version]	v1.1.0	derived								legacy_derivation	derived
7	PXD040176-Sample-7	annotation_tool	comment[sdrf annotation tool]	HAMLET-agentic v2.1.0	derived								legacy_derivation	derived
8	PXD040176-Sample-8	source_name	source name	PXD040176-Sample-8	derived								legacy_derivation	derived
8	PXD040176-Sample-8	organism	characteristics[organism]	Diplonema papillatum	biological_agent	Affinity pulldown of mitoribosomal complexes from Diplonema papillatum, the diplonemid type species, demonstrates that they have a mass of > 5 MDa, contain as many as 130 integral proteins, and exhibit a protein-to-RNA ratio of 11:1.	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
8	PXD040176-Sample-8	organism_part	characteristics[organism part]	mitochondria	biological_agent	Mitochondria were extracted as described earlier, with minor variations.	LLM_ONLY	0.5					source_precedence:biological_agent	derived
8	PXD040176-Sample-8	cell_line	characteristics[cell line]	mS49, mS63, mL46, mL76, mtPrA, wild-type	biological_agent	Liquid chromatography–tandem mass spectrometry (LC–MS/MS) was performed on three (IP) and four (AP) biological replicates per tagged protein together with the same number of replicates from a wild-type (IP) or mtPrA (AP) control.	LLM_ONLY	0.5					source_precedence:biological_agent	derived
8	PXD040176-Sample-8	assay_name	assay name	run 8	derived								legacy_derivation	derived
8	PXD040176-Sample-8	technology_type	technology type	proteomic profiling by mass spectrometry	derived								legacy_derivation	derived
8	PXD040176-Sample-8	acquisition	comment[proteomics data acquisition method]	NT=data-dependent acquisition;AC=PRIDE:0000627	aggregate								source_precedence:aggregate	derived
8	PXD040176-Sample-8	label	comment[label]	label free sample	technical_agent				high	False	False		source_precedence:technical_agent	derived
8	PXD040176-Sample-8	instrument	comment[instrument]	NT=Orbitrap Fusion;AC=MS:1002416	technical_agent				high	False	False		source_precedence:technical_agent	derived
8	PXD040176-Sample-8	cleavage_agent	comment[cleavage agent details]	NT=Trypsin;AC=MS:1001251	derived								legacy_derivation	derived
8	PXD040176-Sample-8	factor_value	factor value[experimental design]	bait protein (mS49, mS63, mL46, mL76, wild-type, mtPrA), purification method (IP, AP)	experimental_design_agent	Four cell lines were generated each expressing a distinct PrA-tagged mtRP: mS49 (gene name MRPS49; gene identifier DIPPA_31280), mS63 (MRPS63; DIPPA_25715), mL46 (MRPL46; DIPPA_18631) or mL76 (MRPL76; DIPPA_24761). As a control, we also generated a cell line with an ectopically expressed mitochondrially targeted PrA (mtPrA)	LLM_ONLY	0.5	high	False	False		source_precedence:experimental_design_agent	derived
8	PXD040176-Sample-8	modification	comment[modification parameters]	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	derived								legacy_derivation	derived
8	PXD040176-Sample-8	modification	comment[modification parameters]	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	derived								legacy_derivation	derived
8	PXD040176-Sample-8	modification	comment[modification parameters]	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	derived								legacy_derivation	derived
8	PXD040176-Sample-8	precursor_tolerance	comment[precursor mass tolerance]	6 ppm	derived								legacy_derivation	derived
8	PXD040176-Sample-8	ms2_analyzer	comment[ms2 mass analyzer]	orbitrap	derived								legacy_derivation	derived
8	PXD040176-Sample-8	ms1_scan_range	comment[ms1 scan range]	360m/z-1550m/z	derived								legacy_derivation	derived
8	PXD040176-Sample-8	data_file	comment[data file]	OF_20210717_OEF_06.raw	derived								legacy_derivation	derived
8	PXD040176-Sample-8	sdrf_version	comment[sdrf version]	v1.1.0	derived								legacy_derivation	derived
8	PXD040176-Sample-8	annotation_tool	comment[sdrf annotation tool]	HAMLET-agentic v2.1.0	derived								legacy_derivation	derived
9	PXD040176-Sample-9	source_name	source name	PXD040176-Sample-9	derived								legacy_derivation	derived
